track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1778279410,0.1778279410,2017,6,6,2015,130.0000000000,111.8923046072,14.9717002549,0.1499976078,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.3162277660,0.3162277660,2014,4,4,2013,79.0000000000,69.8085744268,12.3533547829,0.1236910075,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.3162277660,0.3162277660,2015,5,5,2014,94.0000000000,84.5328097064,10.6055467442,0.1061550427,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.3162277660,0.3162277660,2017,6,6,2015,130.0000000000,110.7907531895,15.9551366122,0.1598911346,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.5623413252,0.5623413252,2014,4,4,2013,79.0000000000,68.6957914363,13.9532866354,0.1397599151,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.5623413252,0.5623413252,2015,5,5,2014,94.0000000000,83.2324717202,12.1507398450,0.1216572255,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.5623413252,0.5623413252,2017,6,6,2015,130.0000000000,108.9466646583,17.6217863277,0.1766760030,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.0000000000,1.0000000000,2014,4,4,2013,79.0000000000,66.9875674000,16.4567884977,0.1649408115,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.0000000000,1.0000000000,2015,5,5,2014,94.0000000000,81.1836292000,14.6319274906,0.1465811663,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.0000000000,1.0000000000,2017,6,6,2015,130.0000000000,105.9876882041,20.3504784327,0.2042115121,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.7782794100,1.7782794100,2014,4,4,2013,79.0000000000,64.5890986555,20.0724170281,0.2014022074,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.7782794100,1.7782794100,2015,5,5,2014,94.0000000000,78.1937974691,18.3586200701,0.1841044541,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.7782794100,1.7782794100,2017,6,6,2015,130.0000000000,101.5483647941,24.5751121855,0.2469992650,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,3.1622776602,3.1622776602,2014,4,4,2013,79.0000000000,61.6115908107,24.7325403106,0.2485978371,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,3.1622776602,3.1622776602,2015,5,5,2014,94.0000000000,74.2855088067,23.4298144066,0.2353788858,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,3.1622776602,3.1622776602,2017,6,6,2015,130.0000000000,95.5170586111,30.5812266276,0.3082295947,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,5.6234132519,5.6234132519,2014,4,4,2013,79.0000000000,58.4323581087,29.9312944554,0.3015780389,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,5.6234132519,5.6234132519,2015,5,5,2014,94.0000000000,69.8510357147,29.4767307145,0.2969298690,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,5.6234132519,5.6234132519,2017,6,6,2015,130.0000000000,88.3397563333,38.1609326367,0.3863442026,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,10.0000000000,10.0000000000,2014,4,4,2013,79.0000000000,55.5400441429,34.8743097367,0.3523435758,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,10.0000000000,10.0000000000,2015,5,5,2014,94.0000000000,65.5600000000,35.6480320882,0.3603290284,False
